,dong,year,highlevel
0,동춘동,h_2013,546.0
1,동춘동,h_2014,515.0
2,동춘동,h_2015,516.0
3,동춘동,h_2016,530.0
4,동춘동,h_2017,529.0
5,동춘동,h_2018,516.0
6,선학동,h_2013,169.0
7,선학동,h_2014,180.0
8,선학동,h_2015,223.0
9,선학동,h_2016,183.0
10,선학동,h_2017,171.0
11,선학동,h_2018,195.0
12,송도동,h_2013,1792.0
13,송도동,h_2014,1883.0
14,송도동,h_2015,2302.0
15,송도동,h_2016,2665.0
16,송도동,h_2017,2657.0
17,송도동,h_2018,3126.0
18,연수동,h_2013,672.0
19,연수동,h_2014,702.0
20,연수동,h_2015,690.0
21,연수동,h_2016,727.0
22,연수동,h_2017,618.0
23,연수동,h_2018,638.0
24,옥련동,h_2013,474.0
25,옥련동,h_2014,489.0
26,옥련동,h_2015,468.0
27,옥련동,h_2016,466.0
28,옥련동,h_2017,467.0
29,옥련동,h_2018,443.0
30,청학동,h_2013,305.0
31,청학동,h_2014,325.0
32,청학동,h_2015,361.0
33,청학동,h_2016,340.0
34,청학동,h_2017,365.0
35,청학동,h_2018,339.0
