,dong,year,business
0,동춘동,2013,2635.0
1,동춘동,2014,2616.0
2,동춘동,2015,2585.0
3,동춘동,2016,2610.0
4,동춘동,2017,2667.0
5,동춘동,2018,2660.0
6,선학동,2013,1035.0
7,선학동,2014,1087.0
8,선학동,2015,1069.0
9,선학동,2016,1147.0
10,선학동,2017,1144.0
11,선학동,2018,1122.0
12,송도동,2013,3054.0
13,송도동,2014,3908.0
14,송도동,2015,4691.0
15,송도동,2016,5559.0
16,송도동,2017,6425.0
17,송도동,2018,7029.0
18,연수동,2013,3554.0
19,연수동,2014,3613.0
20,연수동,2015,3515.0
21,연수동,2016,3540.0
22,연수동,2017,3640.0
23,연수동,2018,3629.0
24,옥련동,2013,2670.0
25,옥련동,2014,2814.0
26,옥련동,2015,2799.0
27,옥련동,2016,2944.0
28,옥련동,2017,2950.0
29,옥련동,2018,3030.0
30,청학동,2013,1643.0
31,청학동,2014,1603.0
32,청학동,2015,1657.0
33,청학동,2016,1699.0
34,청학동,2017,1707.0
35,청학동,2018,1721.0
