,gid,population_cnt,year
0,다사241332,1563,2018
1,다사270346,925,2018
2,다사268350,77,2018
3,다사252358,0,2018
4,다사241367,19,2018
5,다사256326,498,2018
6,다사266340,429,2018
7,다사277366,188,2018
8,다사289368,314,2018
9,다사256373,37,2018
10,다사266342,408,2018
11,다사289363,15,2018
12,다사271348,388,2018
13,다사244336,261,2018
14,다사272360,244,2018
15,다사264346,316,2018
16,다사261345,141,2018
17,다사273365,330,2018
18,다사287357,187,2018
19,다사245337,467,2018
20,다사275367,198,2018
21,다사231325,1069,2018
22,다사275360,353,2018
23,다사270349,532,2018
24,다사256366,245,2018
25,다사251303,682,2018
26,다사254365,221,2018
27,다사242329,545,2018
28,다사264356,291,2018
29,다사263348,380,2018
30,다사276359,88,2018
31,다사237320,0,2018
32,다사280356,682,2018
33,다사257369,68,2018
34,다사270364,516,2018
35,다사279366,215,2018
36,다사276364,43,2018
37,다사240365,372,2018
38,다사269321,741,2018
39,다사245328,1497,2018
40,다사291362,545,2018
41,다사260368,491,2018
42,다사268355,0,2018
43,다사278362,549,2018
44,다사266365,73,2018
45,다사268358,95,2018
46,다사261343,84,2018
47,다사271356,424,2018
48,다사277348,687,2018
49,다사258352,0,2018
50,다사247314,250,2018
51,다사250301,511,2018
52,다사248366,676,2018
53,다사260370,326,2018
54,다사265363,617,2018
55,다사272349,182,2018
56,다사268336,195,2018
57,다사251332,483,2018
58,다사258369,230,2018
59,다사244327,1005,2018
60,다사271342,415,2018
61,다사266357,107,2018
62,다사269342,180,2018
63,다사273358,88,2018
64,다사247359,114,2018
65,다사261368,401,2018
66,다사278358,217,2018
67,다사241317,319,2018
68,다사261348,833,2018
69,다사271349,692,2018
70,다사252304,301,2018
71,다사269363,308,2018
72,다사252310,579,2018
73,다사284360,533,2018
74,다사251333,578,2018
75,다사277363,468,2018
76,다사231318,323,2018
77,다사253368,48,2018
78,다사269345,632,2018
79,다사262323,413,2018
80,다사269348,588,2018
81,다사288358,212,2018
82,다사253330,181,2018
83,다사240340,453,2018
84,다사259368,272,2018
85,다사253328,430,2018
86,다사272366,155,2018
87,다사287361,595,2018
88,다사267336,199,2018
89,다사250326,188,2018
90,다사249362,33,2018
91,다사265365,32,2018
92,다사264362,342,2018
93,다사231324,444,2018
94,다사259369,266,2018
95,다사269349,358,2018
96,다사268366,38,2018
97,다사246327,359,2018
98,다사258371,244,2018
99,다사262361,221,2018
100,다사265348,147,2018
101,다사269353,272,2018
102,다사274362,411,2018
103,다사271347,348,2018
104,다사265342,450,2018
105,다사244316,192,2018
106,다사261367,121,2018
107,다사268321,405,2018
108,다사241335,714,2018
109,다사250329,382,2018
110,다사253310,871,2018
111,다사249332,0,2018
112,다사263364,286,2018
113,다사290363,14,2018
114,다사242343,248,2018
115,다사260364,24,2018
116,다사230321,227,2018
117,다사266337,420,2018
