base_date,center,store_type,open_cnt
2018,신도심,건강,50
2018,신도심,기타,87
2018,신도심,동물,29
2018,신도심,문화,13
2018,신도심,생활,481
2018,신도심,식품,646
2018,원도심,건강,28
2018,원도심,기타,80
2018,원도심,동물,25
2018,원도심,문화,28
2018,원도심,생활,452
2018,원도심,식품,527
2019,신도심,건강,38
2019,신도심,기타,97
2019,신도심,동물,19
2019,신도심,문화,5
2019,신도심,생활,728
2019,신도심,식품,822
2019,원도심,건강,36
2019,원도심,기타,99
2019,원도심,동물,19
2019,원도심,문화,29
2019,원도심,생활,521
2019,원도심,식품,597
2020,신도심,건강,63
2020,신도심,기타,177
2020,신도심,동물,19
2020,신도심,문화,3
2020,신도심,생활,1188
2020,신도심,식품,800
2020,원도심,건강,23
2020,원도심,기타,111
2020,원도심,동물,10
2020,원도심,문화,15
2020,원도심,생활,741
2020,원도심,식품,546
2021,신도심,건강,64
2021,신도심,기타,186
2021,신도심,동물,28
2021,신도심,문화,14
2021,신도심,생활,1369
2021,신도심,식품,837
2021,원도심,건강,22
2021,원도심,기타,116
2021,원도심,동물,15
2021,원도심,문화,7
2021,원도심,생활,788
2021,원도심,식품,547
