emd_nm,base_date,store_type,open_cnt
동춘동,2018,건강,8
동춘동,2018,기타,19
동춘동,2018,동물,5
동춘동,2018,문화,7
동춘동,2018,생활,110
동춘동,2018,식품,277
동춘동,2019,건강,13
동춘동,2019,기타,21
동춘동,2019,동물,2
동춘동,2019,문화,3
동춘동,2019,생활,127
동춘동,2019,식품,314
동춘동,2020,건강,8
동춘동,2020,기타,31
동춘동,2020,동물,1
동춘동,2020,문화,1
동춘동,2020,생활,199
동춘동,2020,식품,230
동춘동,2021,건강,5
동춘동,2021,기타,32
동춘동,2021,동물,2
동춘동,2021,생활,209
동춘동,2021,식품,223
선학동,2018,건강,3
선학동,2018,기타,5
선학동,2018,동물,1
선학동,2018,문화,3
선학동,2018,생활,27
선학동,2018,식품,20
선학동,2019,건강,6
선학동,2019,기타,14
선학동,2019,동물,1
선학동,2019,문화,8
선학동,2019,생활,43
선학동,2019,식품,32
선학동,2020,건강,1
선학동,2020,기타,6
선학동,2020,문화,1
선학동,2020,생활,66
선학동,2020,식품,30
선학동,2021,건강,3
선학동,2021,기타,9
선학동,2021,동물,3
선학동,2021,문화,1
선학동,2021,생활,60
선학동,2021,식품,28
송도동,2018,건강,50
송도동,2018,기타,87
송도동,2018,동물,29
송도동,2018,문화,13
송도동,2018,생활,481
송도동,2018,식품,646
송도동,2019,건강,38
송도동,2019,기타,97
송도동,2019,동물,19
송도동,2019,문화,5
송도동,2019,생활,728
송도동,2019,식품,822
송도동,2020,건강,63
송도동,2020,기타,177
송도동,2020,동물,19
송도동,2020,문화,3
송도동,2020,생활,1188
송도동,2020,식품,800
송도동,2021,건강,64
송도동,2021,기타,186
송도동,2021,동물,28
송도동,2021,문화,14
송도동,2021,생활,1369
송도동,2021,식품,837
연수동,2018,건강,6
연수동,2018,기타,20
연수동,2018,동물,11
연수동,2018,문화,8
연수동,2018,생활,140
연수동,2018,식품,122
연수동,2019,건강,8
연수동,2019,기타,29
연수동,2019,동물,10
연수동,2019,문화,9
연수동,2019,생활,169
연수동,2019,식품,129
연수동,2020,건강,5
연수동,2020,기타,32
연수동,2020,동물,4
연수동,2020,문화,7
연수동,2020,생활,212
연수동,2020,식품,135
연수동,2021,건강,11
연수동,2021,기타,39
연수동,2021,동물,3
연수동,2021,문화,4
연수동,2021,생활,245
연수동,2021,식품,120
옥련동,2018,건강,8
옥련동,2018,기타,21
옥련동,2018,동물,4
옥련동,2018,문화,4
옥련동,2018,생활,104
옥련동,2018,식품,59
옥련동,2019,건강,6
옥련동,2019,기타,16
옥련동,2019,동물,4
옥련동,2019,문화,3
옥련동,2019,생활,101
옥련동,2019,식품,68
옥련동,2020,건강,7
옥련동,2020,기타,25
옥련동,2020,동물,4
옥련동,2020,문화,4
옥련동,2020,생활,143
옥련동,2020,식품,65
옥련동,2021,기타,18
옥련동,2021,동물,5
옥련동,2021,생활,164
옥련동,2021,식품,76
청학동,2018,건강,3
청학동,2018,기타,15
청학동,2018,동물,4
청학동,2018,문화,6
청학동,2018,생활,71
청학동,2018,식품,49
청학동,2019,건강,3
청학동,2019,기타,19
청학동,2019,동물,2
청학동,2019,문화,6
청학동,2019,생활,81
청학동,2019,식품,54
청학동,2020,건강,2
청학동,2020,기타,17
청학동,2020,동물,1
청학동,2020,문화,2
청학동,2020,생활,121
청학동,2020,식품,86
청학동,2021,건강,3
청학동,2021,기타,18
청학동,2021,동물,2
청학동,2021,문화,2
청학동,2021,생활,110
청학동,2021,식품,100
