base_date,center,school_nm,stdnt_num
2019,신도심,고등학교,4032
2019,신도심,대학교,12507
2019,신도심,어린이집,3879
2019,신도심,유치원,2490
2019,신도심,중학교,5287
2019,신도심,초등학교,12086
2019,원도심,초등학교,11122
2019,원도심,중학교,5651
2019,원도심,유치원,3162
2019,원도심,어린이집,5510
2019,원도심,고등학교,7798
2020,원도심,유치원,3168
2020,원도심,중학교,5657
2020,원도심,초등학교,10837
2020,원도심,어린이집,4979
2020,원도심,고등학교,7527
2020,신도심,초등학교,13300
2020,신도심,중학교,5961
2020,신도심,유치원,2664
2020,신도심,어린이집,4422
2020,신도심,대학교,12420
2020,신도심,고등학교,3986
2021,원도심,어린이집,4706
2021,원도심,고등학교,7919
2021,원도심,유치원,3175
2021,신도심,중학교,7065
2021,원도심,중학교,5656
2021,신도심,유치원,3222
2021,신도심,어린이집,4630
2021,신도심,대학교,12152
2021,신도심,고등학교,4017
2021,신도심,초등학교,15465
2021,원도심,초등학교,10446
