,end_nm,base_date,exclusive_area,price_per_area,cnstr_year,floor,bld_type
0,동춘동,2018,84.945,282.536,1994,5,아파트
1,동춘동,2018,73.66,323.106,1994,2,아파트
2,동춘동,2018,84.945,297.84,1994,3,아파트
3,동춘동,2018,84.945,282.536,1994,5,아파트
4,동춘동,2018,84.945,291.954,1994,1,아파트
5,동춘동,2018,84.945,300.194,1994,5,아파트
6,동춘동,2018,84.945,275.472,1994,5,아파트
7,동춘동,2018,84.945,306.08,1994,2,아파트
8,동춘동,2018,84.945,304.903,1994,3,아파트
9,동춘동,2018,84.945,300.194,1994,2,아파트
10,동춘동,2018,84.945,311.967,1994,4,아파트
11,동춘동,2018,84.945,297.84,1994,3,아파트
12,동춘동,2018,84.945,270.763,1994,5,아파트
13,동춘동,2018,84.945,280.181,1994,4,아파트
14,동춘동,2018,84.945,286.067,1994,1,아파트
15,동춘동,2018,84.945,282.536,1994,5,아파트
16,동춘동,2018,84.945,223.674,1994,3,아파트
17,동춘동,2018,84.945,297.84,1994,2,아파트
18,동춘동,2018,84.945,306.08,1994,2,아파트
19,동춘동,2018,84.945,327.859,1994,3,아파트
20,동춘동,2018,84.945,287.245,1994,4,아파트
21,동춘동,2018,84.945,287.245,1994,4,아파트
22,동춘동,2018,84.945,282.536,1994,5,아파트
23,동춘동,2018,84.945,316.675,1994,4,아파트
24,동춘동,2018,84.945,288.422,1994,4,아파트
25,동춘동,2018,84.945,277.827,1994,4,아파트
26,동춘동,2018,84.945,270.763,1994,5,아파트
27,동춘동,2018,84.945,280.181,1994,5,아파트
28,동춘동,2018,84.945,276.65,1994,5,아파트
29,동춘동,2018,84.945,276.65,1994,5,아파트
30,동춘동,2018,84.945,267.232,1994,5,아파트
31,동춘동,2018,84.945,300.194,1994,2,아파트
32,동춘동,2018,73.66,291.882,1994,1,아파트
33,동춘동,2018,84.945,291.954,1994,4,아파트
34,동춘동,2018,84.945,317.853,1994,3,아파트
35,동춘동,2018,84.945,304.903,1994,1,아파트
36,동춘동,2018,84.945,279.004,1994,1,아파트
37,동춘동,2018,84.945,282.536,1994,5,아파트
38,동춘동,2018,84.945,289.599,1994,2,아파트
39,동춘동,2018,73.66,316.318,1994,1,아파트
40,동춘동,2018,73.66,321.749,1994,3,아파트
41,동춘동,2018,84.945,302.549,1994,2,아파트
42,동춘동,2018,84.945,300.194,1994,2,아파트
43,동춘동,2018,84.945,303.726,1994,4,아파트
44,동춘동,2018,84.945,323.739,1994,2,아파트
45,동춘동,2018,84.945,279.004,1994,5,아파트
46,동춘동,2018,84.945,271.941,1994,5,아파트
47,동춘동,2018,84.945,269.586,1994,5,아파트
48,동춘동,2018,84.585,289.649,1994,6,아파트
49,동춘동,2018,84.585,301.472,1994,2,아파트
50,동춘동,2018,84.585,320.388,1994,6,아파트
51,동춘동,2018,84.585,283.738,1994,2,아파트
52,동춘동,2018,75.255,305.628,1994,4,아파트
53,동춘동,2018,84.585,304.427,1994,5,아파트
54,동춘동,2018,75.255,324.231,1994,3,아파트
55,동춘동,2018,84.585,283.738,1994,2,아파트
56,동춘동,2018,84.585,319.206,1994,3,아파트
57,동춘동,2018,84.585,293.196,1994,6,아파트
58,동춘동,2018,75.255,292.339,1994,6,아파트
59,동춘동,2018,84.585,277.827,1994,2,아파트
60,동춘동,2018,75.255,305.628,1994,2,아파트
61,동춘동,2018,75.255,325.56,1994,4,아파트
62,동춘동,2018,84.585,300.29,1994,5,아파트
63,동춘동,2018,84.585,293.196,1994,5,아파트
64,동춘동,2018,75.255,292.339,1994,2,아파트
65,동춘동,2018,84.585,319.206,1994,5,아파트
66,동춘동,2018,96.74,312.177,1993,4,아파트
67,동춘동,2018,134.07,290.893,1993,2,아파트
68,동춘동,2018,101.7,216.323,1993,5,아파트
69,동춘동,2018,96.74,315.278,1993,5,아파트
70,동춘동,2018,134.07,290.893,1993,8,아파트
71,동춘동,2018,101.7,285.152,1993,15,아파트
72,동춘동,2018,101.7,329.4,1993,14,아파트
73,동춘동,2018,134.07,275.975,1993,7,아파트
74,동춘동,2018,101.7,294.985,1993,3,아파트
75,동춘동,2018,96.74,289.436,1993,3,아파트
76,동춘동,2018,101.7,314.651,1993,14,아파트
77,동춘동,2018,134.07,290.893,1993,6,아파트
78,동춘동,2018,101.7,332.35,1993,11,아파트
79,동춘동,2018,101.7,299.902,1993,11,아파트
80,동춘동,2018,53.01,305.603,1993,2,아파트
81,동춘동,2018,53.01,347.104,1993,2,아파트
82,동춘동,2018,53.01,339.559,1993,5,아파트
83,동춘동,2018,53.01,320.694,1993,4,아파트
84,동춘동,2018,53.01,341.445,1993,4,아파트
85,동춘동,2018,53.01,316.921,1993,1,아파트
86,동춘동,2018,53.01,343.331,1993,3,아파트
87,동춘동,2018,53.01,343.331,1993,2,아파트
88,동춘동,2018,53.01,311.262,1993,4,아파트
89,동춘동,2018,53.01,339.559,1993,4,아파트
90,동춘동,2018,53.01,320.694,1993,2,아파트
91,동춘동,2018,53.01,311.262,1993,4,아파트
92,동춘동,2018,53.01,328.24,1993,3,아파트
93,동춘동,2018,53.01,324.467,1993,4,아파트
94,동춘동,2018,53.01,324.467,1993,1,아파트
95,동춘동,2018,53.01,282.965,1993,1,아파트
96,동춘동,2018,53.01,301.83,1993,1,아파트
97,동춘동,2018,99.9595,255.103,1993,5,아파트
98,동춘동,2018,99.9595,273.111,1993,4,아파트
99,동춘동,2018,134.025,231.3,1993,2,아파트
100,동춘동,2018,99.9595,264.607,1993,2,아파트
101,동춘동,2018,134.1225,257.228,1993,4,아파트
102,동춘동,2018,99.09,270.461,1993,3,아파트
103,동춘동,2018,99.9595,263.107,1993,3,아파트
104,동춘동,2018,99.9595,273.111,1993,3,아파트
105,동춘동,2018,99.9595,249.101,1993,3,아파트
106,동춘동,2018,134.1225,231.132,1993,6,아파트
107,동춘동,2018,134.025,264.13,1993,4,아파트
108,동춘동,2018,99.9595,258.105,1993,1,아파트
109,동춘동,2018,99.9595,260.105,1993,2,아파트
110,동춘동,2018,99.09,257.342,1993,2,아파트
111,동춘동,2018,52.14,377.829,1994,5,아파트
112,동춘동,2018,52.14,354.814,1994,9,아파트
113,동춘동,2018,52.14,335.635,1994,3,아파트
114,동춘동,2018,52.14,326.045,1994,4,아파트
115,동춘동,2018,52.14,335.635,1994,2,아파트
116,동춘동,2018,52.14,325.086,1994,1,아파트
117,동춘동,2018,52.14,364.404,1994,8,아파트
118,동춘동,2018,52.14,393.172,1994,5,아파트
119,동춘동,2018,52.14,341.389,1994,11,아파트
120,동춘동,2018,52.14,341.389,1994,8,아파트
121,동춘동,2018,52.14,354.814,1994,3,아파트
122,동춘동,2018,52.14,345.224,1994,9,아파트
123,동춘동,2018,52.14,370.157,1994,9,아파트
124,동춘동,2018,52.14,349.06,1994,6,아파트
125,동춘동,2018,52.14,358.65,1994,14,아파트
126,동춘동,2018,52.14,326.045,1994,4,아파트
