,end_nm,base_date,deposit,m_rent,exclusive_area,cnstr_year,floor,type
0,동춘동,2018,2000,70,84.945,1994,2.0,아파트
1,동춘동,2018,2000,40,53.01,1993,6.0,아파트
2,동춘동,2018,500,15,52.14,1994,7.0,아파트
3,동춘동,2018,1000,57,52.14,1994,9.0,아파트
4,동춘동,2018,2000,60,52.14,1994,10.0,아파트
5,동춘동,2018,3000,40,52.14,1994,11.0,아파트
6,동춘동,2018,500,60,52.14,1994,1.0,아파트
7,동춘동,2018,7000,30,59.3,1994,5.0,아파트
8,동춘동,2018,3000,70,59.76,1995,7.0,아파트
9,동춘동,2018,2000,90,90.18,1994,6.0,아파트
10,동춘동,2018,2700,100,120.72,1994,4.0,아파트
11,동춘동,2018,3000,80,70.75,2017,9.0,아파트
12,동춘동,2018,4000,80,70.77,2017,13.0,아파트
13,동춘동,2018,4000,80,70.75,2017,7.0,아파트
14,동춘동,2018,3000,85,70.75,2017,18.0,아파트
15,동춘동,2018,2000,90,70.75,2017,7.0,아파트
16,동춘동,2018,2000,90,70.75,2017,23.0,아파트
17,동춘동,2018,8000,50,101.97,1993,7.0,아파트
18,동춘동,2018,3000,90,101.97,1993,1.0,아파트
19,동춘동,2018,1000,60,45.36,1993,5.0,아파트
20,동춘동,2018,1000,60,45.36,1993,7.0,아파트
21,동춘동,2018,2000,50,45.36,1993,2.0,아파트
22,동춘동,2018,1000,60,45.36,1993,6.0,아파트
23,동춘동,2018,2500,55,84.97,1994,5.0,아파트
24,동춘동,2018,3000,70,84.97,1994,1.0,아파트
25,동춘동,2018,4000,55,68.36,1994,4.0,아파트
26,동춘동,2018,10000,40,84.97,1994,3.0,아파트
27,동춘동,2018,2000,80,84.97,1994,2.0,아파트
28,동춘동,2018,2000,67,68.36,1994,1.0,아파트
29,동춘동,2018,3000,80,84.97,1993,7.0,아파트
30,동춘동,2018,2000,90,84.97,1993,6.0,아파트
31,선학동,2018,3000,70,84.53,1992,5.0,아파트
32,선학동,2018,1500,55,59.86,1995,15.0,아파트
33,송도동,2018,28000,25,115.98,2013,7.0,아파트
34,송도동,2018,15000,75,115.93,2013,34.0,아파트
35,송도동,2018,5000,115,115.98,2013,20.0,아파트
36,송도동,2018,3000,130,101.98,2013,26.0,아파트
37,송도동,2018,3000,120,115.98,2013,13.0,아파트
38,송도동,2018,3000,130,84.8682,2014,33.0,아파트
39,송도동,2018,12000,90,84.3408,2014,17.0,아파트
40,송도동,2018,3000,130,84.8682,2014,3.0,아파트
41,송도동,2018,2000,150,96.318,2010,41.0,아파트
42,송도동,2018,30000,170,152.6784,2010,12.0,아파트
43,송도동,2018,22500,100,133.5512,2011,9.0,아파트
44,송도동,2018,3000,150,104.7392,2011,5.0,아파트
45,송도동,2018,36000,100,134.8097,2011,9.0,아파트
46,송도동,2018,40000,140,146.5057,2011,15.0,아파트
47,송도동,2018,2000,130,84.9871,2009,4.0,아파트
48,송도동,2018,3000,155,141.162,2009,13.0,아파트
49,송도동,2018,3000,130,110.253,2012,13.0,아파트
50,송도동,2018,2000,105,59.8604,2016,22.0,아파트
51,송도동,2018,3000,135,101.3056,2016,25.0,아파트
52,송도동,2018,2000,100,59.9715,2016,42.0,아파트
53,송도동,2018,1000,100,63.9487,2017,5.0,아파트
54,송도동,2018,14000,55,63.9721,2017,21.0,아파트
55,송도동,2018,2000,115,63.9721,2017,7.0,아파트
56,송도동,2018,3000,95,63.9721,2017,20.0,아파트
57,송도동,2018,3000,120,84.9359,2017,15.0,아파트
58,송도동,2018,15000,50,63.9721,2017,26.0,아파트
59,송도동,2018,5000,110,74.9533,2017,8.0,아파트
60,송도동,2018,3000,160,129.1677,2012,25.0,아파트
61,송도동,2018,2000,130,101.9444,2012,7.0,아파트
62,송도동,2018,15000,80,84.73,2015,16.0,아파트
63,송도동,2018,3000,120,84.73,2015,28.0,아파트
64,송도동,2018,7000,170,125.51,2015,22.0,아파트
65,송도동,2018,8000,75,84.92,2015,13.0,아파트
66,송도동,2018,3000,115,84.92,2015,25.0,아파트
67,송도동,2018,1000,120,68.72,2017,44.0,아파트
68,송도동,2018,2000,100,84.94,2017,14.0,아파트
69,송도동,2018,3000,100,84.9,2017,22.0,아파트
70,송도동,2018,2500,100,84.9,2017,14.0,아파트
71,송도동,2018,1700,110,84.9,2017,40.0,아파트
72,송도동,2018,1000,130,68.72,2017,41.0,아파트
73,송도동,2018,18000,65,95.87,2017,2.0,아파트
74,송도동,2018,2000,110,84.9,2017,2.0,아파트
75,송도동,2018,3000,100,84.9,2017,4.0,아파트
76,송도동,2018,10000,55,68.72,2017,9.0,아파트
77,송도동,2018,3000,80,68.72,2017,16.0,아파트
78,송도동,2018,1000,100,59.98,2017,10.0,아파트
79,송도동,2018,2000,120,84.9,2017,26.0,아파트
80,송도동,2018,1000,130,84.94,2017,40.0,아파트
81,송도동,2018,3000,90,59.98,2017,38.0,아파트
82,송도동,2018,5000,85,84.9,2017,3.0,아파트
83,송도동,2018,2000,83,59.98,2017,6.0,아파트
84,송도동,2018,3000,95,84.94,2017,25.0,아파트
85,송도동,2018,3000,100,84.9,2017,33.0,아파트
86,송도동,2018,2000,100,84.9,2017,21.0,아파트
87,송도동,2018,12000,65,84.94,2017,26.0,아파트
88,송도동,2018,3000,120,84.94,2017,17.0,아파트
89,송도동,2018,2000,105,84.9,2017,15.0,아파트
90,송도동,2018,1000,120,68.96,2017,26.0,아파트
91,송도동,2018,2000,100,84.9,2017,37.0,아파트
92,송도동,2018,3000,113,84.9,2017,36.0,아파트
93,송도동,2018,3000,95,84.9,2017,10.0,아파트
