,end_nm,base_date,deposit_per_area,exclusive_area,cnstr_year,floor,type
0,동춘동,2018,247.21878862793574,84.945,1994,3.0,아파트
1,동춘동,2018,235.4464653599388,84.945,1994,4.0,아파트
2,동춘동,2018,235.4464653599388,84.945,1994,2.0,아파트
3,동춘동,2018,189.1588343086836,84.585,1994,2.0,아파트
4,동춘동,2018,265.7630722211149,75.255,1994,6.0,아파트
5,동춘동,2018,245.82104228121926,101.7,1993,4.0,아파트
6,동춘동,2018,216.94019996227127,53.01,1993,1.0,아파트
7,동춘동,2018,188.64365214110546,53.01,1993,6.0,아파트
8,동춘동,2018,210.08508445920597,99.9595,1993,4.0,아파트
9,동춘동,2018,326.0452627541235,52.14,1994,5.0,아파트
10,동춘동,2018,287.68699654775605,52.14,1994,3.0,아파트
11,동춘동,2018,268.5078634445723,52.14,1994,13.0,아파트
12,동춘동,2018,297.2765630993479,52.14,1994,9.0,아파트
13,동춘동,2018,287.68699654775605,52.14,1994,11.0,아파트
14,동춘동,2018,316.45569620253167,52.14,1994,13.0,아파트
15,동춘동,2018,268.5078634445723,52.14,1994,6.0,아파트
16,동춘동,2018,278.0974299961642,52.14,1994,12.0,아파트
17,동춘동,2018,249.32873034138856,52.14,1994,4.0,아파트
18,동춘동,2018,306.8661296509398,52.14,1994,14.0,아파트
19,동춘동,2018,287.68699654775605,52.14,1994,13.0,아파트
20,동춘동,2018,278.0974299961642,52.14,1994,13.0,아파트
21,동춘동,2018,297.2765630993479,52.14,1994,5.0,아파트
22,동춘동,2018,268.5078634445723,52.14,1994,6.0,아파트
23,동춘동,2018,219.00269541778977,59.36,1994,5.0,아파트
24,동춘동,2018,219.22428330522766,59.3,1994,1.0,아파트
25,동춘동,2018,286.6779089376054,59.3,1994,4.0,아파트
26,동춘동,2018,202.15633423180594,59.36,1994,4.0,아파트
27,동춘동,2018,384.8728246318608,59.76,1995,9.0,아파트
28,동춘동,2018,270.6996998764197,84.965,1995,6.0,아파트
29,동춘동,2018,368.1392235609103,59.76,1995,9.0,아파트
30,동춘동,2018,288.3540281292297,84.965,1995,10.0,아파트
31,동춘동,2018,254.90196078431373,102.0,1994,16.0,아파트
32,동춘동,2018,367.4911660777385,70.75,2017,5.0,아파트
33,동춘동,2018,374.4524516037869,70.77,2017,8.0,아파트
34,동춘동,2018,353.35689045936397,70.75,2017,6.0,아파트
35,동춘동,2018,341.2567662979524,84.98,2017,20.0,아파트
36,동춘동,2018,293.33838001514005,105.68,2017,1.0,아파트
37,동춘동,2018,353.02424099788186,84.98,2017,4.0,아파트
38,동춘동,2018,82.40141259564449,84.95,2017,11.0,아파트
39,동춘동,2018,226.13065326633165,119.4,1993,6.0,아파트
40,동춘동,2018,213.5678391959799,119.4,1993,4.0,아파트
41,동춘동,2018,272.108843537415,95.55,1993,7.0,아파트
42,동춘동,2018,282.57456828885404,95.55,1993,11.0,아파트
43,동춘동,2018,233.78141437755698,59.885,1995,5.0,아파트
44,동춘동,2018,385.8024691358025,45.36,1993,9.0,아파트
45,동춘동,2018,308.641975308642,45.36,1993,1.0,아파트
46,동춘동,2018,374.7795414462081,45.36,1993,3.0,아파트
47,동춘동,2018,264.55026455026456,45.36,1993,1.0,아파트
48,동춘동,2018,237.2479240806643,84.3,1993,5.0,아파트
49,동춘동,2018,284.69750889679716,84.3,1993,1.0,아파트
50,동춘동,2018,247.73229666895344,131.19,1994,6.0,아파트
51,동춘동,2018,224.8201438848921,133.44,1994,12.0,아파트
52,동춘동,2018,98.13542688910697,101.9,1994,17.0,아파트
53,동춘동,2018,298.22192212469054,88.86,1994,13.0,아파트
54,동춘동,2018,270.0877785280216,88.86,1994,4.0,아파트
55,동춘동,2018,248.683440608543,68.36,1994,1.0,아파트
56,동춘동,2018,235.37719195010004,84.97,1994,1.0,아파트
57,동춘동,2018,263.3118782913985,68.36,1994,3.0,아파트
58,동춘동,2018,277.94031597425396,68.36,1994,1.0,아파트
59,동춘동,2018,211.83947275509004,84.97,1994,2.0,아파트
60,동춘동,2018,263.3118782913985,68.36,1994,4.0,아파트
61,동춘동,2018,248.683440608543,68.36,1994,4.0,아파트
62,동춘동,2018,211.83947275509004,84.97,1994,5.0,아파트
63,동춘동,2018,235.37719195010004,84.97,1994,3.0,아파트
64,동춘동,2018,241.26162174885255,84.97,1994,1.0,아파트
65,동춘동,2018,248.683440608543,68.36,1994,1.0,아파트
66,동춘동,2018,270.683770742615,84.97,1994,2.0,아파트
67,동춘동,2018,258.91491114511007,84.97,1994,2.0,아파트
68,동춘동,2018,204.7981275599766,68.36,1994,5.0,아파트
69,동춘동,2018,239.01070352280993,96.23,1993,5.0,아파트
70,동춘동,2018,223.42304894523537,96.23,1993,1.0,아파트
71,동춘동,2018,223.42304894523537,96.23,1993,5.0,아파트
72,동춘동,2018,294.22148993762505,84.97,1993,1.0,아파트
73,동춘동,2018,270.683770742615,84.97,1993,8.0,아파트
74,동춘동,2018,282.45263034012004,84.97,1993,8.0,아파트
75,선학동,2018,201.92606399502952,64.38,1991,1.0,아파트
76,선학동,2018,214.13276231263382,84.06,1992,11.0,아파트
77,송도동,2018,296.2962962962963,101.25,2013,28.0,아파트
78,송도동,2018,232.79875840662183,115.98,2013,4.0,아파트
79,송도동,2018,343.2045499117474,101.98,2013,34.0,아파트
80,송도동,2018,313.787017062169,101.98,2013,32.0,아파트
81,송도동,2018,293.15399206759787,115.98,2013,28.0,아파트
82,송도동,2018,284.6545329077892,115.93,2013,26.0,아파트
83,송도동,2018,402.0396156109041,101.98,2013,12.0,아파트
84,송도동,2018,250.0431108811864,115.98,2013,26.0,아파트
85,송도동,2018,258.6652871184687,115.98,2013,11.0,아파트
86,송도동,2018,263.21330806485577,94.98,2013,6.0,아파트
87,송도동,2018,288.8429039489567,115.98,2013,3.0,아파트
88,송도동,2018,392.1953132660065,101.99,2013,38.0,아파트
89,송도동,2018,275.90963959303326,115.98,2013,12.0,아파트
90,송도동,2018,315.82271818086116,94.99,2013,9.0,아파트
91,송도동,2018,326.02252519264965,134.96,2013,23.0,아파트
92,송도동,2018,310.3983445421624,115.98,2013,9.0,아파트
93,송도동,2018,388.32666509767,84.98,2013,17.0,아파트
94,송도동,2018,340.03143745198986,64.6999,2014,8.0,아파트
95,송도동,2018,346.0813413298481,98.2428,2014,35.0,아파트
96,송도동,2018,356.26020431013774,98.2428,2014,37.0,아파트
97,송도동,2018,399.93766488809325,72.5113,2014,19.0,아파트
98,송도동,2018,482.6833886580436,72.5113,2014,23.0,아파트
99,송도동,2018,467.28893977146237,59.9201,2014,2.0,아파트
100,송도동,2018,412.4041749442076,84.8682,2014,4.0,아파트
101,송도동,2018,400.06521062933257,99.9837,2014,3.0,아파트
102,송도동,2018,388.2997061865556,84.9859,2014,4.0,아파트
103,송도동,2018,400.06521062933257,99.9837,2014,30.0,아파트
104,송도동,2018,411.8330217130136,84.9859,2014,19.0,아파트
105,송도동,2018,438.6963367670214,84.3408,2014,12.0,아파트
106,송도동,2018,462.4096522679415,84.3408,2014,24.0,아파트
107,송도동,2018,474.2663100184015,84.3408,2014,16.0,아파트
108,송도동,2018,450.07336195799917,99.9837,2014,16.0,아파트
109,송도동,2018,585.8474488394069,170.6929,2010,28.0,아파트
110,송도동,2018,352.9973629020536,96.318,2010,16.0,아파트
111,송도동,2018,427.78641272573833,77.1413,2010,24.0,아파트
112,송도동,2018,556.5550763974366,170.6929,2010,16.0,아파트
113,송도동,2018,373.76191366099795,96.318,2010,37.0,아파트
114,송도동,2018,445.9296378772635,71.7602,2011,34.0,아파트
115,송도동,2018,378.47928914019917,105.6861,2011,22.0,아파트
