,end_nm,base_date,price_per_area,exclusive_area,floor,right_type
0,동춘동,2018,427.523,93.7025,7,분
1,동춘동,2018,484.308,66.947,16,분
2,동춘동,2018,476.912,74.2443,22,분
3,동춘동,2018,448.563,84.9044,15,분
4,동춘동,2018,467.565,74.2443,11,분
5,동춘동,2018,480.953,74.2443,28,분
6,동춘동,2018,432.172,84.98,3,분
7,동춘동,2018,375.662,105.68,1,분
8,동춘동,2018,464.756,84.98,6,분
9,동춘동,2018,449.5,84.95,18,분
10,동춘동,2018,457.425,84.98,16,분
11,동춘동,2018,476.233,70.77,21,분
12,동춘동,2018,462.685,84.98,23,분
13,동춘동,2018,390.045,105.68,1,분
14,동춘동,2018,362.595,105.68,1,분
15,동춘동,2018,451.895,84.98,15,분
16,동춘동,2018,383.132,84.42,1,분
17,동춘동,2018,452.845,101.951,27,분
18,동춘동,2018,459.416,84.8904,21,분
19,동춘동,2018,462.34,84.9246,13,분
20,동춘동,2018,440.155,84.9246,3,분
21,동춘동,2018,464.203,76.9835,21,분
22,동춘동,2018,456.7,101.951,29,분
23,동춘동,2018,492.248,84.9246,22,분
24,동춘동,2018,469.019,59.8632,5,분
25,동춘동,2018,470.69,59.8632,9,분
26,동춘동,2018,455.036,84.98,23,분
27,동춘동,2018,390.948,84.84,2,분
28,동춘동,2018,460.481,70.75,2,분
29,동춘동,2018,467.303,70.77,22,분
30,동춘동,2018,441.786,84.98,10,분
31,동춘동,2018,442.481,84.98,21,분
32,동춘동,2018,453.809,70.75,7,분
33,동춘동,2018,473.887,70.77,13,분
34,동춘동,2018,469.357,70.75,12,분
35,동춘동,2018,462.979,70.77,8,분
36,동춘동,2018,482.846,70.77,16,분
37,동춘동,2018,467.303,70.77,18,분
38,동춘동,2018,464.839,84.98,17,분
39,동춘동,2018,467.943,70.75,12,분
40,동춘동,2018,426.312,84.98,3,분
41,동춘동,2018,446.742,70.75,10,분
42,동춘동,2018,458.824,70.77,16,분
43,송도동,2018,538.118,84.9999,24,분
44,송도동,2018,539.253,95.8548,36,분
45,송도동,2018,541.462,84.8166,42,분
46,송도동,2018,548.471,84.9999,47,분
47,송도동,2018,526.436,84.7966,9,분
48,송도동,2018,530.073,95.8548,19,분
49,송도동,2018,534.683,84.8166,39,분
50,송도동,2018,519.001,84.9999,4,분
51,송도동,2018,542.824,84.9999,16,분
52,송도동,2018,531.116,95.8548,21,분
53,송도동,2018,538.118,84.9999,22,분
54,송도동,2018,546.707,84.9999,42,분
55,송도동,2018,535.765,84.9999,26,분
56,송도동,2018,539.253,95.8548,44,분
57,송도동,2018,547.295,84.9999,33,분
58,송도동,2018,532.577,84.9999,6,분
59,송도동,2018,548.471,84.9999,48,분
60,송도동,2018,524.942,84.9999,7,분
61,송도동,2018,543.536,84.7966,32,분
62,송도동,2018,526.135,84.8166,30,분
63,송도동,2018,524.118,84.9999,28,분
64,송도동,2018,538.118,84.9999,23,분
65,송도동,2018,541.34,95.8548,12,분
66,송도동,2018,518.412,84.9999,3,분
67,송도동,2018,546.707,84.9999,31,분
68,송도동,2018,543.048,84.9999,13,분
69,송도동,2018,541.34,95.8548,46,분
70,송도동,2018,549.648,84.9999,38,분
71,송도동,2018,521.342,84.9999,3,분
72,송도동,2018,514.589,84.9999,3,분
73,송도동,2018,536.354,84.9999,28,분
74,송도동,2018,548.471,84.9999,35,분
75,송도동,2018,546.118,84.9999,37,분
76,송도동,2018,507.33,95.8548,2,분
77,송도동,2018,523.488,84.7966,9,분
78,송도동,2018,547.295,84.9999,49,분
79,송도동,2018,550.824,84.9999,41,분
80,송도동,2018,524.942,84.9999,6,분
81,송도동,2018,523.813,95.8548,15,분
82,송도동,2018,535.765,84.9999,30,분
83,송도동,2018,531.507,84.7966,17,분
84,송도동,2018,552.075,95.8548,37,분
85,송도동,2018,546.118,84.9999,45,분
86,송도동,2018,536.118,84.9999,23,분
87,송도동,2018,555.236,84.9999,48,분
88,송도동,2018,543.896,95.8548,45,분
89,송도동,2018,533.276,84.7966,24,분
90,송도동,2018,532.097,84.7966,17,분
91,송도동,2018,543.536,84.7966,42,분
92,송도동,2018,529.029,95.8548,17,분
93,송도동,2018,535.765,84.9999,30,분
94,송도동,2018,546.118,84.9999,31,분
95,송도동,2018,536.354,84.9999,12,분
96,송도동,2018,561.225,84.7966,45,분
97,송도동,2018,529.029,95.8548,28,분
98,송도동,2018,504.236,84.9999,2,분
99,송도동,2018,538.118,84.9999,29,분
100,송도동,2018,553.784,84.7966,43,분
101,송도동,2018,500.846,84.7966,2,분
102,송도동,2018,537.404,84.7966,19,분
103,송도동,2018,548.471,84.9999,44,분
104,송도동,2018,546.118,84.9999,37,분
105,송도동,2018,535.177,84.9999,10,분
106,송도동,2018,552.001,84.9999,40,분
107,송도동,2018,547.883,84.9999,46,분
108,송도동,2018,536.354,84.9999,21,분
109,송도동,2018,542.357,84.7966,34,분
110,송도동,2018,532.097,84.7966,23,분
111,송도동,2018,514.589,84.9999,3,분
112,송도동,2018,546.118,84.9999,45,분
113,송도동,2018,533.765,84.9999,5,분
114,송도동,2018,549.648,84.9999,49,분
115,송도동,2018,541.34,95.8548,41,분
116,송도동,2018,535.765,84.9999,12,분
117,송도동,2018,546.118,84.9999,31,분
