,end_nm,base_date,price_per_area,cntrc_area,lot_purpose,use_area,road_cndtn
0,옥련동,2018,154.93,71.0,전,제1종일반주거지역,12m미만
1,송도동,2018,385.162,168.76,대,준주거지역,25m미만
2,선학동,2018,62.192,894.0,전,개발제한구역,8m미만
3,동춘동,2018,100.87,506.0,임야,제1종일반주거지역,-
4,동춘동,2018,112.188,722.0,임야,제1종일반주거지역,-
5,동춘동,2018,102.992,119.0,전,제1종일반주거지역,-
6,동춘동,2018,90.441,148.55,임야,제1종일반주거지역,-
7,동춘동,2018,83.152,400.0,전,제1종일반주거지역,-
8,동춘동,2018,111.033,392.0,대,제1종일반주거지역,-
9,송도동,2018,75.625,4335.0,대,준주거지역,25m미만
10,선학동,2018,47.209,1021.0,전,개발제한구역,8m미만
11,동춘동,2018,95.226,771.97,전,제2종일반주거지역,-
12,옥련동,2018,271.0,170.0,도로,제3종일반주거지역,25m이상
13,동춘동,2018,75.77,3480.0,임야,제1종일반주거지역,-
14,동춘동,2018,68.718,4445.0,임야,제1종일반주거지역,-
15,송도동,2018,452.899,165.6,대,준주거지역,25m미만
16,송도동,2018,356.343,321.6,대,준주거지역,25m이상
17,송도동,2018,344.33,166.41,대,준주거지역,25m이상
18,송도동,2018,343.463,166.83,대,준주거지역,25m이상
19,송도동,2018,372.574,166.41,대,준주거지역,25m이상
20,송도동,2018,397.855,173.43,대,준주거지역,25m이상
21,동춘동,2018,146.032,630.0,전,제2종일반주거지역,-
22,선학동,2018,39.088,307.0,전,개발제한구역,12m미만
23,송도동,2018,410.983,167.89,대,준주거지역,25m미만
24,동춘동,2018,93.788,886.0,전,제3종일반주거지역,-
25,송도동,2018,584.021,166.09,대,준주거지역,25m이상
26,청학동,2018,301.265,600.8,대,중심상업지역,25m미만
27,선학동,2018,174.98,248.0,전,제1종일반주거지역,-
28,선학동,2018,174.98,248.6,전,제1종일반주거지역,25m이상
29,동춘동,2018,209.811,238.0,목장용지,자연녹지지역,-
30,동춘동,2018,103.631,445.0,전,제1종일반주거지역,-
31,옥련동,2018,219.565,92.0,답,준주거지역,8m미만
32,옥련동,2018,217.143,315.0,답,준주거지역,8m미만
