,dong,year,land_value,land_value_r-lq,land_value_std
0,동춘동,2013,639680.8781725889,48.48877428362867,0.7881060802648465
1,동춘동,2014,655799.0558375635,47.551362826335655,0.812191492382281
2,동춘동,2015,674709.7924050633,46.116565623513694,0.8155668011143098
3,동춘동,2016,716726.8987796124,43.141972863549825,0.7723348971913565
4,동춘동,2017,735328.4620886982,38.170210958885,0.7369283120797808
5,동춘동,2018,775838.928317956,36.54463199907216,0.708177451671232
6,동춘동,2019,810353.6897274633,36.6851994090052,0.7188068001407221
7,동춘동,2020,847901.49930265,36.50210167047262,0.697435527890559
8,동춘동,2021,895940.9485637943,38.780718606752146,0.7403353674727827
9,선학동,2013,477784.73329590115,61.525694951286006,1.0
10,선학동,2014,518313.72180451127,58.54698463641903,1.0
11,선학동,2015,544123.2984293194,56.54541793572836,1.0
12,선학동,2016,556419.8104575163,55.859152578030944,1.0
13,선학동,2017,573275.4748247291,51.79636924405836,1.0
14,선학동,2018,591717.8356336261,51.60377799777481,1.0
15,선학동,2019,626677.4873737374,51.03624423394892,1.0
16,선학동,2020,636446.5832824893,52.337599979851475,1.0
17,선학동,2021,696877.5956284154,52.38263672196892,1.0
18,송도동,2013,1241828.1049935978,0.0,0.0
19,송도동,2014,1250364.3396226414,0.0,0.0
20,송도동,2015,1252165.5314151498,0.0,0.0
21,송도동,2016,1260555.3426248548,0.0,0.0
22,송도동,2017,1189278.6203746002,0.0,0.0
23,송도동,2018,1222652.9492455418,0.0,0.0
24,송도동,2019,1279880.3473491773,0.0,0.0
25,송도동,2020,1335322.1470455572,0.0,0.0
26,송도동,2021,1463494.7163274144,0.0,0.0
27,연수동,2013,932946.5813253012,24.87313038142981,0.40427223782069466
28,연수동,2014,962319.4277108434,23.03687835489052,0.39347676909325363
29,연수동,2015,999228.483935743,20.199968864623433,0.35723440734991957
30,연수동,2016,1027040.1958814666,18.52478339087751,0.33163380638472467
31,연수동,2017,1069174.3194374687,10.098920377404998,0.1949735188931888
32,연수동,2018,1100425.0149551346,9.99694429771179,0.19372504660691442
33,연수동,2019,1159428.688118812,9.411165620273703,0.18440161029744168
34,연수동,2020,1214546.2135442412,9.044703839334696,0.17281464650302375
35,연수동,2021,1355893.242303873,7.352365049432043,0.14035881943965817
36,옥련동,2013,727422.8201368524,41.423227803287425,0.6732671258095493
37,옥련동,2014,742250.4471744471,40.63726678269972,0.6940966650128961
38,옥련동,2015,784857.9058881497,37.31995601243446,0.6599996493942926
39,옥련동,2016,807322.3352119578,35.95502649404744,0.6436729673587696
40,옥련동,2017,836111.0256410256,29.695950863249642,0.5733210898108676
41,옥련동,2018,869171.5416363195,28.91101745817109,0.560250016179392
42,옥련동,2019,919594.2937219731,28.14997936122781,0.5515683958284426
43,옥련동,2020,954249.4503645541,28.537884848546742,0.5452654470119577
44,옥련동,2021,1034101.3665283541,29.340273320330596,0.5601144798430027
45,청학동,2013,695190.3304347827,44.01879554510754,0.7154538535478575
46,청학동,2014,720857.2202948829,42.34822623680736,0.7233203639742146
47,청학동,2015,742402.9714532872,40.71047694355141,0.7199606693123122
48,청학동,2016,759817.3973194985,39.72359866903341,0.711138584022423
49,청학동,2017,785352.469879518,33.96396299193986,0.6557209219029558
50,청학동,2018,820860.9789609275,32.862307372876884,0.636819795912887
51,청학동,2019,861773.1835853131,32.66767589875306,0.6400877727014005
52,청학동,2020,919328.0448856279,31.153089393471788,0.5952334345760001
53,청학동,2021,1029153.7816931672,29.678339784116858,0.5665682684443787
