,dong,year,highlevel_rate
0,동춘동,h_rate_2013,4.189686924493554
1,동춘동,h_rate_2014,3.893845455920157
2,동춘동,h_rate_2015,3.8487357350637725
3,동춘동,h_rate_2016,4.024908869987849
4,동춘동,h_rate_2017,3.930163447251114
5,동춘동,h_rate_2018,3.979639055992596
6,선학동,h_rate_2013,5.469255663430421
7,선학동,h_rate_2014,5.264697279906406
8,선학동,h_rate_2015,6.092896174863388
9,선학동,h_rate_2016,4.450389105058366
10,선학동,h_rate_2017,4.362244897959184
11,선학동,h_rate_2018,4.955527318932655
12,송도동,h_rate_2013,5.461416554918932
13,송도동,h_rate_2014,4.921589127025614
14,송도동,h_rate_2015,4.704776308528684
15,송도동,h_rate_2016,5.020628850247735
16,송도동,h_rate_2017,4.4578293038940995
17,송도동,h_rate_2018,4.617361634244693
18,연수동,h_rate_2013,5.693467762433279
19,연수동,h_rate_2014,5.632220795892169
20,연수동,h_rate_2015,5.446795074202716
21,연수동,h_rate_2016,5.575580949459314
22,연수동,h_rate_2017,4.707854041288947
23,연수동,h_rate_2018,4.802047267800693
24,옥련동,h_rate_2013,5.6556496838086145
25,옥련동,h_rate_2014,5.621335785722497
26,옥련동,h_rate_2015,5.3230209281164695
27,옥련동,h_rate_2016,5.060816681146829
28,옥련동,h_rate_2017,4.916306979682072
29,옥련동,h_rate_2018,4.2698795180722895
30,청학동,h_rate_2013,4.669320269442744
31,청학동,h_rate_2014,5.236023844047043
32,청학동,h_rate_2015,5.247093023255814
33,청학동,h_rate_2016,4.673539518900344
34,청학동,h_rate_2017,4.939106901217862
35,청학동,h_rate_2018,4.778012684989429
