,dong,year,employee,1000_employee,employee_r-lq,employee_std
0,동춘동,2013,13032.0,218.74947545111203,56.58544254890935,0.8022526270089386
1,동춘동,2014,13226.0,224.7141376556739,53.934776449367064,0.8190858786292884
2,동춘동,2015,13407.0,229.14031789437703,59.58609002160057,0.872819797449111
3,동춘동,2016,13168.0,230.62911587501753,54.965603774522776,0.8740213901107111
4,동춘동,2017,13460.0,238.89391761177075,53.45650841610444,0.8653424745858956
5,동춘동,2018,12966.0,224.30197557346986,57.94019069574093,0.9468110696218985
6,선학동,2013,3090.0,148.47203536421296,70.53319695552568,1.0
7,선학동,2014,3419.0,166.60169574115582,65.84752326535653,1.0
8,선학동,2015,3660.0,181.8543177978734,67.92601103026206,0.9949833453993575
9,선학동,2016,4112.0,208.9537069973068,59.19810905922864,0.941323482665987
10,선학동,2017,3920.0,201.2113746021969,60.79816508513747,0.9841876355920931
11,선학동,2018,3935.0,209.33077987019897,60.74750273446199,0.9926858601986458
12,송도동,2013,32812.0,503.8620414305677,0.0,0.0
13,송도동,2014,38260.0,487.8173171322564,0.0,0.0
14,송도동,2015,48929.0,566.9837885442136,0.0,0.0
15,송도동,2016,53081.0,512.1177038109021,0.0,0.0
16,송도동,2017,59603.0,513.2702972684372,0.0,0.0
17,송도동,2018,67701.0,533.2928971476734,0.0,0.0
18,연수동,2013,11803.0,163.33167275545225,67.58404894091245,0.9581878017457114
19,연수동,2014,12464.0,173.4314775905492,64.44745368817468,0.9787377032915914
20,연수동,2015,12668.0,179.91251491223088,68.26849046704247,1.0
21,연수동,2016,13039.0,190.05626330058595,62.88816772271484,1.0
22,연수동,2017,13127.0,196.19770726530857,61.77497347704529,1.0
23,연수동,2018,13286.0,206.9438170745004,61.19509219392511,1.0
24,옥련동,2013,8381.0,178.52426191794828,64.56882097903598,0.9154387404238814
25,옥련동,2014,8699.0,187.79413669530675,61.50318365094197,0.9340242518020387
26,옥련동,2015,8792.0,192.20006995452957,66.10131121243835,0.9682550582299698
27,옥련동,2016,9208.0,202.721148342213,60.415125891240976,0.9606755623350652
28,옥련동,2017,9499.0,210.7423348271731,58.94125649804431,0.9541283982897386
29,옥련동,2018,10375.0,235.0049832381988,55.93322459475325,0.9140148758580641
30,청학동,2013,6532.0,211.61072955811844,58.002248203235915,0.8223397025348066
31,청학동,2014,6207.0,201.8208421394895,58.62778235796575,0.8903566823873358
32,청학동,2015,6880.0,227.6110761901611,59.85580526480751,0.8767705987831048
33,청학동,2016,7275.0,245.36256323777403,52.08863872271571,0.8282740714021725
34,청학동,2017,7390.0,255.54133960372073,50.21310585013763,0.8128389706034614
35,청학동,2018,7095.0,255.98932024823208,51.99836307263879,0.8497145965212012
