emd_nm,base_date,store_type,close_cnt
동춘동,2018,건강,6
동춘동,2018,기타,21
동춘동,2018,동물,1
동춘동,2018,문화,5
동춘동,2018,생활,31
동춘동,2018,식품,258
동춘동,2019,건강,6
동춘동,2019,기타,19
동춘동,2019,동물,1
동춘동,2019,문화,4
동춘동,2019,생활,30
동춘동,2019,식품,261
동춘동,2020,건강,7
동춘동,2020,기타,16
동춘동,2020,동물,1
동춘동,2020,문화,6
동춘동,2020,생활,45
동춘동,2020,식품,224
동춘동,2021,건강,4
동춘동,2021,기타,20
동춘동,2021,문화,7
동춘동,2021,생활,66
동춘동,2021,식품,214
선학동,2018,건강,3
선학동,2018,기타,9
선학동,2018,문화,3
선학동,2018,생활,8
선학동,2018,식품,18
선학동,2019,건강,3
선학동,2019,기타,11
선학동,2019,문화,1
선학동,2019,생활,10
선학동,2019,식품,23
선학동,2020,건강,1
선학동,2020,기타,6
선학동,2020,문화,5
선학동,2020,생활,13
선학동,2020,식품,32
선학동,2021,건강,2
선학동,2021,기타,9
선학동,2021,생활,19
선학동,2021,식품,27
송도동,2018,건강,23
송도동,2018,기타,55
송도동,2018,동물,5
송도동,2018,문화,7
송도동,2018,생활,67
송도동,2018,식품,550
송도동,2019,건강,17
송도동,2019,기타,51
송도동,2019,동물,6
송도동,2019,문화,6
송도동,2019,생활,101
송도동,2019,식품,681
송도동,2020,건강,19
송도동,2020,기타,47
송도동,2020,문화,5
송도동,2020,생활,152
송도동,2020,식품,456
송도동,2021,건강,21
송도동,2021,기타,88
송도동,2021,동물,11
송도동,2021,문화,9
송도동,2021,생활,257
송도동,2021,식품,453
연수동,2018,건강,9
연수동,2018,기타,19
연수동,2018,문화,12
연수동,2018,생활,34
연수동,2018,식품,114
연수동,2019,건강,11
연수동,2019,기타,35
연수동,2019,동물,1
연수동,2019,문화,8
연수동,2019,생활,47
연수동,2019,식품,94
연수동,2020,건강,5
연수동,2020,기타,20
연수동,2020,문화,16
연수동,2020,생활,60
연수동,2020,식품,105
연수동,2021,건강,9
연수동,2021,기타,42
연수동,2021,동물,2
연수동,2021,문화,8
연수동,2021,생활,84
연수동,2021,식품,96
옥련동,2018,건강,3
옥련동,2018,기타,19
옥련동,2018,동물,1
옥련동,2018,문화,4
옥련동,2018,생활,16
옥련동,2018,식품,59
옥련동,2019,건강,4
옥련동,2019,기타,13
옥련동,2019,동물,1
옥련동,2019,문화,5
옥련동,2019,생활,26
옥련동,2019,식품,49
옥련동,2020,건강,8
옥련동,2020,기타,24
옥련동,2020,문화,5
옥련동,2020,생활,31
옥련동,2020,식품,52
옥련동,2021,건강,1
옥련동,2021,기타,19
옥련동,2021,동물,3
옥련동,2021,문화,1
옥련동,2021,생활,42
옥련동,2021,식품,57
청학동,2018,건강,3
청학동,2018,기타,8
청학동,2018,문화,9
청학동,2018,생활,21
청학동,2018,식품,56
청학동,2019,건강,4
청학동,2019,기타,21
청학동,2019,동물,1
청학동,2019,문화,1
청학동,2019,생활,17
청학동,2019,식품,54
청학동,2020,건강,2
청학동,2020,기타,13
청학동,2020,동물,1
청학동,2020,문화,6
청학동,2020,생활,27
청학동,2020,식품,72
청학동,2021,건강,4
청학동,2021,기타,17
청학동,2021,문화,1
청학동,2021,생활,39
청학동,2021,식품,63
